Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"Agilent Technologies, Inc.","A","135","3","F"
"Alcoa Corp.","AA","144","2","D"
"AAC Technologies Holdings Inc.","AACAY","144","3","C"
"American Airlines Group Inc.","AAL","135","4","D"
"Aarons,  Inc.","AAN","212","4","A"
"AAON, Inc.","AAON","225","3","B"
"Advance Auto Parts, Inc.","AAP","225","4","B"
"American Assets Trust, Inc.","AAT","181","3","C"
"Atlas Air Worldwide Holdings","AAWW","59","1","A"
"Axon Enterprise, Inc","AAXN","62","2","F"
"AllianceBernstein Holding L.P.","AB","161","3","A"
"ABB Ltd","ABB","148","3","C"
"AmerisourceBergen Corporation","ABC","167","3","A"
"Ameris Bancorp","ABCB","247","5","C"
"Abcam PLC Unsponsored ADR","ABCZY","68","3","D"
"Ambev S.A.","ABEV","167","3","D"
"Asbury Automotive Group, Inc.","ABG","207","3","A"
"ABM Industries Incorporated","ABM","81","3","C"
"ABIOMED, Inc.","ABMD","69","4","C"
"Arbor Realty Trust","ABR","80","3","D"
"Abbott Laboratories","ABT","68","3","D"
"Allegiance Bancshares, Inc.","ABTX","247","3","D"
"Arcosa, Inc.","ACA","203","3","A"
"Aurora Cannabis Inc.","ACB","68","3","D"
"Atlantic Capital Bancshares, Inc.","ACBI","219","3","D"
"American Campus Communities Inc","ACC","126","3","D"
"Acco Brands Corporation","ACCO","231","3","D"
"TPG Pace Holdings Corp.","ACEL","120","3","D"
"Agri Bank China","ACGBY","165","3","B"
"Arch Capital Group Ltd.","ACGL","141","5","C"
"Acadia Healthcare Company, Inc.","ACHC","177","3","C"
"Acacia Communications, Inc.","ACIA","67","1","B"
"Axcelis Technologies, Inc.","ACLS","126","3","A"
"AECOM","ACM","160","4","B"
"Accenture PLC","ACN","152","3","A"
"Ares Commercial Real Estate Corporation","ACRE","203","4","D"
"Adobe Systems Incorporated","ADBE","81","3","C"
"Agree Realty Corporation","ADC","181","3","C"
"Adidas AG","ADDYY","235","5","C"
"Analog Devices, Inc.","ADI","81","3","D"
"Archer Daniels Midland Company","ADM","81","3","A"
"Adient PLC","ADNT","165","2","A"
"Automatic Data Processing, Inc.","ADP","223","3","B"
"ANDRITZ AG","ADRZY","207","3","A"
"Alliance Data Systems Corporation","ADS","191","5","B"
"Autodesk, Inc.","ADSK","81","3","B"
"Advanced Disposal Services Inc.","ADSW","183","3","C"
"ADT Inc.","ADT","62","3","B"
"Addus HomeCare Corporation","ADUS","79","4","B"
"ADVA OPTICAL","ADVOF","81","3","B"
"Ameren Corporation","AEE","76","3","C"
"Aegon NV","AEG","141","3","B"
"Aegion Corporation","AEGN","203","5","D"
"Advanced Energy Industries, Inc.","AEIS","81","3","B"
"American Equity Investment Life Holding Company","AEL","177","2","D"
"American Eagle Outfitters, Inc.","AEO","195","3","A"
"American Electric Power Company, Inc.","AEP","76","3","D"
"Aercap Holdings N.V.","AER","254","4","B"
"The AES Corporation","AES","76","3","B"
"Black Ridge Acquisition Corporation","AESE","121","3","F"
"American Financial Group, Inc.","AFG","141","3","A"
"Atlas Financial Holdings, Inc.","AFH","141","3","B"
"Armstrong Flooring, Inc.","AFI","163","3","B"
"American Finance Trust, Inc.","AFIN","80","3","C"
"Aflac Incorporated","AFL","195","3","A"
"Air FranceKLM SA","AFLYY","135","3","C"
"First Majestic Silver Corp.","AG","81","3","D"
"AGCO Corporation","AGCO","223","5","D"
"Ageas SA","AGESY","141","3","A"
"AgroFresh Solutions, Inc.","AGFS","150","1","C"
"Agios Pharmaceuticals, Inc.","AGIO","68","2","D"
"AGNC Investment Corp.","AGNC","203","3","B"
"Agile Property Holdings Ltd.","AGPYY","183","3","A"
"Avangrid, Inc.","AGR","76","3","C"
"Adecoagro S.A.","AGRO","81","3","B"
"PlayAGS, Inc.","AGS","120","3","C"
"Agilysys, Inc.","AGYS","81","4","C"
"Anhui Conch Cement Co.","AHCHY","219","4","A"
"DFB Healthcare Acquisitions Corp.","AHCO","68","3","A"
"Adecco SA","AHEXY","223","5","A"
"Armada Hoffler Properties, Inc.","AHH","126","3","A"
"Asahi Kasei Corp.","AHKSY","192","3","A"
"Ashford Hospitality Trust Inc","AHT","80","2","A"
"Arlington Asset Investment Corp","AI","203","3","C"
"American International Group, Inc.","AIG","141","3","D"
"Aesthetic Medical International Hldngs Group Ltd Sponsored ADR","AIH","63","3","C"
"Altra Industrial Motion Corp.","AIMC","219","4","A"
"Albany International Corporation","AIN","81","3","D"
"Ashford Inc.","AINC","161","4","A"
"Apollo Investment Corporation","AINV","152","3","D"
"Air Liquide","AIQUY","192","3","A"
"AAR Corp.","AIR","211","3","B"
"Airgain, Inc.","AIRG","67","3","F"
"Air Industries Group","AIRI","139","2","B"
"Air China Ltd.","AIRYY","135","3","A"
"Applied Industrial Technologies, Inc.","AIT","219","4","A"
"Apartment Investment and Management Company","AIV","126","3","D"
"Assurant, Inc.","AIZ","141","3","D"
"Arthur J. Gallagher  Co.","AJG","81","3","C"
"ASHMORE GROUP","AJMPF","161","3","C"
"Aerojet Rocketdyne Holdings, Inc.","AJRD","211","4","D"
"Great Ajax Corp.","AJX","203","5","F"
"Embotelladora Andina S.A.","AKO.B","121","3","A"
"Acadia Realty Trust","AKR","181","3","C"
"Akoustis Technologies, Inc.","AKTS","152","3","F"
"Akzo Nobel NV","AKZOY","192","3","B"
"Air Lease Corporation","AL","243","5","C"
"Albemarle Corporation","ALB","192","4","F"
"ALCON INC","ALC","69","4","F"
"Allete, Inc.","ALE","76","3","C"
"Alexander  Baldwin Holdings, Inc.","ALEX","80","1","C"
"Alfa Laval AB Unsponsored ADR","ALFVY","160","4","B"
"Alamo Group, Inc.","ALG","223","4","D"
"Align Technology, Inc.","ALGN","167","4","F"
"Allegiant Travel Company","ALGT","135","3","C"
"Alaska Air Group, Inc.","ALK","135","3","D"
"The Allstate Corporation","ALL","141","2","A"
"Allegion PLC","ALLE","62","3","C"
"Allot Communications Ltd.","ALLT","56","2","F"
"Ally Financial Inc.","ALLY","227","3","C"
"AstroNova, Inc.","ALOT","75","3","B"
"alphaEn Corporation","ALPE","75","3","B"
"Alarm.com Holdings, Inc.","ALRM","62","3","B"
"ALERUS FINL CP","ALRS","152","3","D"
"Alstom ADR","ALSMY","222","3","A"
"Allison Transmission Holdings, Inc.","ALSN","165","4","B"
